year,GDP_JP,GDP_US,GDP_CN,P_JP,P_CN,P_US,A_JP,A_US,A_CN
1980,1127.88,2857.33,303.0,116.77,987.05,227.62,9.658987753703864,12.553070907653105,0.3069753305303683
1981,1243.79,3207.03,288.7,117.62,1000.72,229.92,10.574647168848834,13.94846033402923,0.2884922855544008
1982,1157.6,3343.8,284.6,118.45,1016.54,232.13,9.772899957788095,14.40485934605609,0.2799693076514451
1983,1268.62,3634.03,305.43,119.27,1030.08,234.25,10.636538945250273,15.513468516542156,0.2965109506057782
1984,1345.2,4037.65,314.23,120.05,1043.57,236.31,11.205331112036651,17.086242647369982,0.30111061069214334
1985,1427.35,4339.0,310.13,120.8,1058.51,238.42,11.815811258278146,18.198976595923163,0.2929873123541582
1986,2121.25,4579.63,300.92,121.45,1075.07,240.59,17.466035405516674,19.034997298308326,0.27990735486991547
1987,2584.34,4855.25,327.73,122.03,1093.0,242.75,21.17790707203147,20.001029866117406,0.2998444647758463
1988,3134.18,5236.43,408.66,122.55,1110.26,244.97,25.57470420236638,21.37580111850431,0.3680759461747699
1989,3117.07,5641.6,458.18,123.03,1127.04,247.29,25.335853043973017,22.81370051356707,0.4065339295854628
1990,3196.56,5963.13,396.59,123.44,1143.33,250.05,25.895657809462087,23.847750449910016,0.3468727314073802
1991,3657.35,6158.13,413.21,123.93,1158.23,253.39,29.511417735818604,24.30297170369786,0.35675988361551675
1992,3988.33,6520.33,492.15,124.37,1171.71,256.78,32.06826405081611,25.39267076875146,0.4200271398212868
1993,4544.77,6858.55,617.43,124.77,1185.17,260.15,36.42518233549732,26.3638285604459,0.5209632373414783
1994,4998.8,7287.25,561.69,125.12,1198.5,263.33,39.95204603580563,27.67345156267801,0.4686608260325407
1995,5545.57,7639.75,731.0,125.44,1211.21,266.46,44.20894451530612,28.6712827441267,0.6035287027022564
1996,4923.39,8073.13,860.47,125.71,1223.89,269.58,39.16466470447857,29.9470658060687,0.7030615496490698
1997,4492.45,8577.55,957.99,126.01,1236.26,272.82,35.651535592413296,31.440326955501796,0.7749098086163105
1998,4098.36,9062.83,1024.17,126.35,1247.61,276.02,32.436565096952904,32.83396130715166,0.8209055714526176
1999,4635.98,9631.18,1088.35,126.59,1257.86,279.2,36.62200805750849,34.49563037249284,0.8652393748111873
2000,4968.36,10250.95,1205.53,126.83,1267.43,282.3,39.1733816920287,36.31225646475381,0.9511610108645052
2001,4374.71,10581.93,1333.65,127.13,1276.27,285.22,34.411311256194445,37.1009396255522,1.0449591387402353
2002,4182.85,10929.1,1465.83,127.4,1284.53,288.02,32.832417582417584,37.94562877577946,1.1411411177629172
2003,4519.56,11456.45,1656.96,127.63,1292.27,290.73,35.411423646478106,39.405806074364534,1.2822088263288631
2004,4893.14,12217.18,1949.45,127.73,1299.88,293.39,38.30846316448759,41.64143290500699,1.4997153583407699
2005,4831.47,13039.2,2290.02,127.75,1307.56,296.12,37.81972602739726,44.03349993245982,1.751368962036159
2006,4601.66,13815.6,2754.15,127.75,1314.48,298.93,36.02082191780822,46.21684006289098,2.09523918203396
2007,4579.75,14474.25,3555.66,127.76,1321.29,301.9,35.846509079524104,47.943855581318324,2.6910519265263493
2008,5106.68,14769.85,4577.28,127.69,1328.02,304.72,39.99279505051297,48.470234969808345,3.446695079893375
2009,5289.49,14478.05,5088.99,127.55,1334.5,307.37,41.46993335946687,47.103002895533066,3.8134057699512924
2010,5759.07,15048.98,6033.83,127.59,1340.91,309.74,45.13731483658594,48.58584619358171,4.49980237301534
2011,6233.15,15599.73,7492.21,127.83,1349.16,311.94,48.761245404052254,50.008751683015966,5.553240534851315
2012,6272.36,16253.95,8539.58,127.55,1359.22,314.17,49.17569580556644,51.736161950536335,6.282706258000912
2013,5212.33,16843.23,9624.93,127.33,1367.26,316.33,40.93560040838766,53.24575601428888,7.0395755013676995
2014,4897.0,17550.68,10524.24,127.12,1376.46,318.62,38.52265575833858,55.08342225848974,7.6458741990323
2015,4444.93,18206.03,11113.51,126.98,1383.26,320.93,35.004961411245866,56.72897516592403,8.034288564694997
2016,5003.68,18695.1,11226.9,126.96,1392.32,323.22,39.411468178954,57.840170781511034,8.06344805791772
2017,4930.84,19477.35,12265.33,126.75,1400.11,325.28,38.90209072978304,59.87871987211018,8.760261693724065
2018,5040.88,20533.08,13841.81,126.5,1405.41,327.02,39.84885375494071,62.78845330560823,9.848947993823865
2019,5118.0,21380.95,14340.6,126.22,1410.08,328.55,40.54824908889241,65.0767006543905,10.170061273119256
2020,5050.68,21060.45,14862.56,125.85,1412.12,331.26,40.13253873659119,63.57679768157943,10.524997875534657
2021,5011.87,23315.08,17759.31,125.51,1412.6,332.31,39.932037287865505,70.16063314375133,12.57207277360895
2022,4237.53,25462.73,17886.33,125.17,1411.75,333.53,33.85419829032516,76.34314754294967,12.669615725163805
2023,4230.86,26949.64,17700.9,124.62,1411.4,335.14,33.95008826833574,80.41308110043565,12.54137735581692
